User,Content
김썬,"안녕하세요~ 제가 대리점 시험 합격했는데 코드내려고하면 신규등록교육50시간을 들어야한다는데
어디서 듣는건가요? ...... 교재를 결제하고 듣는건가요? ㅜㅜ
원본 저장하기"
보린e,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :
3. 소속 보험회사 : 교보생명
4. 보험경력 : 1개월
5. 보만세에서 얻고 싶은 것 : 경험,시험팁
6. 자기소개(경력, 영업방법 등) :
이제 시작하는데 지인들이 없어 경험들
듣고 싶어요
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 블로그검색
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
허박사,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) : 허박사
3. 소속 보험회사 : 원금융서비스
4. 보험경력 : 3년차
5. 보만세에서 얻고 싶은 것 : 설계사 시험문제 최신유형
6. 자기소개(경력, 영업방법 등) : 지인없이 DB 와 오로지 소개로 영엽을 진행하고 있으며, 많은 활동으로 그래도
보험영업에 대해서 조금 다른 방식으로 접근을 하면서, 영업하고 있습니다.
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 네이버 검색 - 설계사 기출문제 최신
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
달달2,"※제목앞에 말머리를 꼭 달아주세요 (질문 / 고민 / 일상/ 영업일기)
안녕하세요! 어제 손보&제3 시험 합격한 따끈따끈한 초보입니다.
원더라는 앱으로 시험합격하면 얼마 나온다길래
남는 시간 강의 몇개 들어보니 진짜 관심이 생겨서
롯데손해보험에 면접을 봤어요.
일단은 시험을 한번 볼까싶어서..
시간이 없어서 회사 교육은 안받고 그냥 저혼자 어플 강의로 공부하고 합격을 했어요.
회사에서 교육비? 그런거 받은건 아무것도 없고요.
위촉을 6월 2일에 한다고 담장자님이 문자주셨는데
회사까지 가는데 아침시간에 가보니 생각보다 너무 오래걸려서..
집 바로 근처에 다른 회사 kb손해보험도 면접보고싶어졌어요ㅠㅠ (투잡이라 이동 거리가 가까운게 좋아서요)
그래서 제가 여쭤보고싶은건..
1. 롯데손해보험 소속(?)인 채로 시험합격한 상태에서 위촉은 안하고 다른 회사가서 위촉할 수 있나요?
2. 그리고 제가 신용회복중인데 저 면접봐주신 담당자님은 우회해서 보증하는 방법있으니 걱정말라고 하시는데.. 이행보증보험 관련해서 설계사 코드 나오는데 문제 안될까요?"
다호라박은혜,"안녕하세요.
똑소리나는 다호라 인사드려요~^^
5월 마감도 열심히 하고 계실 거에요. 그쵸?
어김없이 찾아오는 마감일!
부담스럽지만 반드시 통과해야하는 그 시점!
우리 보만세 회원님들은 지혜롭게 잘 지나가게 하시리라 믿습니다.!!!
점점 더 성장하는 감탄본부 속에서 한 자리 딱 차지하고 있는 한빛지점에 관심 가져주셔서 감사해요~
정말 많은 분들이 연락을 주셔서 조금 더 챙겨야할 게 많은 5월!
경력도 다양하고, 원하는 바도 다양하다는 것을 새삼스레 또 느끼는 요즘!.
감탄본부에서는, 한빛지점에서는 어떤 걸 더 준비해 놓으면 좋을까를 생각하고 또 고민하는 중!
하나. 감탄본부에서 준비한 부분!!
감탄본부 안에 계시는 지점장님들 죄송합니다. 😭😭
왠지 본부장님은 지점장님들보다 설계사들을 더 많이 생각하시는 것 같아서😭😭
<경력자의 경우>
입사 후 실적 달성 조건은 없지만, 입사 전 조건이 있는 경력자!
이직 시점을 기준으로 직전 연봉이 3,000만원 이상 이었다면 무조건이라고 하죠.
조건없이 해외여행 기회가 주어져요!!
단, 우리에겐 뗄레야 뗄 수 없는 애증의 관계 그녀석. 1년 이내 퇴사시 환수 있어요!
<신입의 경우>
누구: 설계사 등록하고 15차월 미만 또는 이제 시험보시는 분!
무엇을: 본사에서 지급하는 지원금 500만원 + DB!
만날 고객도 없고, 화법도 모르겠고, 막막하기만 때일 수 있잖아요.😰😰
물론! DB공급에도 나름의 조건이 있는데, 이건 당연한 게 아닐까 생각해요.
DB공급에 대한 부분은 세부적인 사항들이 있기에 이건 방문 해주셨을 때 알려드릴게요^^
둘. 한빛지점에서 준비하는 남다른 교육!!
5월 한 달동안 많은 분들이 면담을 하셨어요.
덕분에 한빛지점장님도 저도 살짝 더 바쁜 척을 할 수 있었답니다. 😄😄
그 바쁜 척 안에는 스텝회의도 중간중간 있었어요.
매달 꾸준히 진행되는 지점회의와 교육을 좀 더 효율적으로 활용하기 위한 고민의 시간이었죠.
그리고 새로오실 분들을 위해 재정비하는 시간이기도 했어요.
본부장님이 교육을 강조하시는 건 다들 보셨을 거에요.
새로 오시는 분들이 몰라서 답답해 뛰쳐나가지 않도록 지점장님들께 주문을 많이 하셨더라구요.
그래서 한빛지점에서는 2:1 집중케어를 준비했어요. 😍😍
신입 2명당이냐구요? 아뇨~~ 스텝이 2명이에요.
신입 1명당 스텝 2명이라고 생각하시면 돼요~^^
처음 이직했을 때 겪는 다양한 어려움들을 우린 이미 겪었기에 알잖아요.
그래서 실전과 내용이 잘 섞일 수 있도록 일정도 짜고, 커리큘럼도 재정비 하고!!
진행하던 큰 틀에 더 디테일한 팁들을 더해서 준비완료!
셋. 이런 분들도 오시면 더더더!!!
고객을 만나는 방법은 다양해요.
지인영업, 개척영업, 온라인영업, DB영업, 소개영업 등 여러가지가 있죠.
아직 어떤 방법이 나한테 맞는지 모르겠다 하시는 분이라면 한빛지점에서 도전해보실 수 있어요.
각자에게 맞는 방법으로 영업하는 다양함이 존재하는 한빛에서는 다 도전해볼 수 있거든요.
실적을 위한 계약이 아닌 정말 필요한 고객과 맺은 계약을 만들고 싶은 분!
보험의 기본을 제대로 알고 성장하고 싶은 분!
화기애애한 분위기 속에서 자신의 일을 사랑하고 싶은 분!
한빛지점에서 기다리고 있는 거 아시죠~
꾸준히 관심 갖고 지켜보고 있다는 거 알아요.
그래서 문 활짝 열어놓고 기다리고 있답니다.^^
어서오세요~"
드뎌,"부산에서 손해보험 제3보험 시험장소문의입니다
6월17일 접수는했다고하는데 장소와 시간은 안나왓다고합니다
그건 언제 알수있나요??
만냑아직안나온거면 보통 어디서 몇시에 치나요??"
뚜이12,"안녕하세요! 얼마전부터 설계매니저 준비하고 있는대요
보험쪽 관련 지식이 하나도 없어서 막막하네요 ㅠㅠ
손보랑 생명 자격증 따서 그때 회사에 들어가려고 하는대
시험등록을 하려고 하면 무조건 회사에서 등록을 해줘야한다고 하는거 같더라구여..
돈은 벌어야 하고.. 그러면 회사로 바로 들어가면 설계매니저한다고 하면 되나요?? 그럼 시험 보는 과정부터 도오ㅏ주시나요?? 선배 매니저분들 ㅠㅠ 부탁드립니다"
춘식이라이언,"※제목앞에 말머리를 꼭 달아주세요 (질문 / 고민 / 일상/ 영업일기)
처음 시험58점으로 불합격하고
현타쎄게 오고..계속 55 51
월요일 드디어 합격했어요🥹🥹🥹🥹
영상은 안들어오고
기출문제 마니 푸는게 답인가봐요🙏🏻"
구리댁,"※제목앞에 말머리를 꼭 달아주세요 (질문 / 고민 / 일상/ 영업일기)
안녕하세요....
궁금한 점이 있어 글을 올립니다.
올해 4월에 손+제3 자격이 사라졌다고 하는게 맞는지 모르겠지만...
코드를 내지 못해서 다시 시험을 봐야하는데요.
현재는 생명소속입니다.
재시험 절차에 대해서 아시는 분 계시다면 알려주세요..."
노강이,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) : 노깡
3. 소속 보험회사 : 한국보험금융
4. 보험경력 : 5년
5. 보만세에서 얻고 싶은 것 : 자료가 필요 합니다.
6. 자기소개(경력, 영업방법 등) : 브리핑 영업으로 시작해서 대면 영업까지 4년 만에 억대 연봉
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 신입 분들 보험시험 모의고사 필요해서 검색하다가
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
보만세스텝,"보험판매전문회사 특화 '新설계사 자격시험' 도입된다
보험판매전문회사 도입 논의가 지속되면서 보험대리점(GA)에 특화된 새로운 설계사 자격시험 제도가 등장할 전망이다.
보험판매전문회사는 GA에 금융사 수준 책임과 역할을 부여하고 지위를 격상하는 제도다. 지난해 금융위원회가 도입을 검토하겠다고 밝힌 이후, 협회를 중심으로 입법을 위한 준비 절차가 진행되고 있다.
보험업계에 따르면 GA협회는 학계 및 업계 등 주요 관계자들과 TF를 꾸려 보험판매전문회사와 GA에 특화된 새 모집제도 신설을 준비하고 있다. 신규 모집제도는 기존 설계사 자격시험과 별도로 운영된다.
구체적으로는 한국독립보험재무설계사(KIIFA: Korea Independent Insurance Fanancial Advisor) 자격증 도입이 논의되고 있다. KIIFA 자격증은 전문가 과정과 베스트컨설팅 과정 두단계로 구성된다.
출처 I 전자신문
기사전문링크
https://www.etnews.com/20250527000038"
블랙조다잉,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :
3. 소속 보험회사 : 예정
4. 보험경력 : 2년
5. 보만세에서 얻고 싶은 것 : 영업정보
6. 자기소개(경력, 영업방법 등) : 브랜드 영업 12년차, 보험경력은 2년입니다.
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] :
검색
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
밀크러버,"저는 시험치고 코드만 받은 신입입니다.
전업이 있고, 부업으로 소득에 도움을 받고자(당장 직장을 관두기엔 좀 무리지싶어서요.)
파트너스로 시작을 했는데, 코드받고 다음날부터 제보험 가족보험 싹 재조정안내 받았습니다.
20년은 납입을해야하는데, 이게 맞나싶어서요. 넣은거 싹 해지하고 , 새로넣고 수수료를 받는다??
이건 좀....... 물론 제 보험중에 부족한부분을 채우는건 좋은 일이지싶은데
전 보험을 하고자한 부분은 부업으로 시작해서, 보험업으로 이후엔변경을 하려고하거든요.
지금일은 월급은 작으나 안정적인데, 정년이 있어서 길게는 못하거든요
한살이라도 적을때 배워서 옮겨야하는게 맞지않을까? 하고 조금씩 해보려했는데
저는 교육을 시켜주는줄 알았습니다. 이렇게 진행하는지 제가 미쳐 정보가 없었네요.
무슨 말인지 용어를 몰라서 설명을 이해하긴힘들고
보험조회 앱사용도 하나하나 제가 따로 눌러보면서 이건뭐지? 저건뭐지?
초보라서 점차 알아가겠지했는데. 있어도 교육의 기회는 따로 없지싶거든요. 건별마다 통화해서
물어보고 하는건 참 제한적이지 싶어서, 전화를 백만통해야지싶더라구요.
이건 처음부터 제접근이 잘못된거다 싶더라구요. 내보험 가족보험 몽땅털어서 소득을 만들게 아니라
제대로 하나하나 배워서 알아가고, 이해하고, 가족에게 설명이라도 할 수 있을때, 하는게 맞지않을까 싶은데,
가족에게, 몰라~ 그렇게 해야한다는데라고 하기엔 ㅠㅜ 이건 설계해준 사람도 원하는 바는 아니고
그래서 현재는 그 무엇도 진행하지않고 고민만 하고있습니다. 너무 광고에 현혹했나 싶고,
누군가가 그러더라구요. 보험사 육성교육을 받아라. 수개월 이상진행된다고 하더라구요.
육성실에 들어가려면, 회사 관두고 진행해야해서 부담감은 좀 있는데,
육성실에서는 어떤 부분으로 진행하는지 혹시 아시면 좀 알려주시면 좋겠습니다.
생명사. 손보사 쪽도 우선적으로 진로 정해야한다면 뭘 고려해야하나요?
검색할수록 고민만 깊어지네요."
일등 김지호,"수수료
수수료의 투명한 공개는 신한금융플러스 감탄본부의 자신감입니다.
FC 기준 : 가공되지 않은 수수료 원장을 공개하며 Grade에 따라
원장기준 735%~850% 지급(고정)
본부시책 : 100%지급(고정)
상생지원금 : 100% ~ 220% 추가 지급(고정)
원수사 시책 : 익월 200~400% 13차월 1,000~2,000%(원수사별 상이)
익월 기준 : 1,000%~ 1,200%
총량 기준 : 최대 3,170%
참고 사항 : 신한라이프 상품은 노마진 정책에 따라 타 GA 보다
상품별로 최소 30%(종신) 최대 500%(건강보험) 추가 지급
환수 기준 : 원 환수 외 추가 환수 절대 없음!
지점장 기준 : 각 수수료의 최고 지급률 지급
이렇게 지난 글에서 신한라이프에 대해서 이렇게 소개드렸었던 바가 있습니다.
제대로 비교해주길 원하시는 분들이 계셔서 얼마나 어마어마한 차이인지
확인해보도록 하겠습니다!!
우선 P사(직영제)입니다.
P사에서 수수료와 시책이 가장 높은 상품으로 비교해보겠습니다.
수수료 익월 207% ???? 2차년도에 661% 지급이 추가되네요.
시책 또한 가장 높은 상품이 M-케어 730% 지급도 P사에서는 굉장히 높다고 생각하고 판매하고 있는 상황입니다.
이제 신한금융플러스 확인해볼까요?
익월 무려 525~600%!! 유지수수료로 받는 금액 또한 지사제가 훨씬 높은거 다들 알고 계시죠??
이제 시책 비교 한 번 해보겠습니다.
P사 730%인데 2000%???? 이거 뭔가 잘못된거 아닌가요??
0세부터건강&치매간병&암걱정없는암 또한 525% vs 2000%????
그 외 미선종 300%vs570%, 헤리티지 종신 450%vs620% 압도적인 차이네요.
표준체 및 유병자 10년고지나 전이암생활비, 통합항암치료, 재가급여 등등 좋은 상품과 가격 경쟁력을 보이고 있는
떠오르는 주요회사 흥국생명 비교해보도록 하겠습니다.
먼저 P사 또 보도록 하겠습니다.
총 수수료 가장 높은 보장성 상품이 574% 입니다.
시책 한 번 볼까요?
심플합니다. 300%!!
열심히 판매했는데 총합 874%... 팔지 말라는거 아닌가요....??
신한금융플러스 한 번 보겠습니다.
수수료 P사 총량 574%인데 반해 익월이 500%~560% 네요! 총량 742%~848%
시책 한 번 볼까요?
조건들이 많이 붙긴 하지만 요즘같은 흥생 상품에 1000% 달성 못하는게 어렵지 않을까요??
1000% 정도만 달성해도 P사 874% vs 1742%~1848% 라
니요.... 믿기지 않습니다.
그럼에도 심지어 이 모든 비교가
신한금융플러스 감탄본부의
본부시책 및 상생지원금은 반영되기 전의
비교라는 사실!!!!!
p사에 몸 담았었던 제가 회사에게 대체 얼마나 희생을 하고 다닌건지...
그런데....
여기서 끝이 아닙니다!!!!!!!!!!!!!!!
바로 환수규정!!!!!
P사의 환수율 입니다.
대부분 받고부터 13회차 까지는 50%에서 대부분 100% 환수??가 있고
24~27차월, 심지어 37회????까지 환수를 보는 회사들도 꽤 있습니다....ㄷㄷㄷ
이제 신한금융플러스 한 번 볼까요??
거의 모든 회사가 동일합니다.
시책도 가공하지 않고 환수도 원수사 정책에 따라 그대로 기준을 세웠습니다!
심플하게 그냥 수당 받은 날로부터
13차월 유지하면 시책, 수수료 환수 없습니다!!
1000만원 받아서 12차월 유지하면
P사는 1000만원 환수, 신한금융플러스는 100만원 환수!!!!!
원수사에서는 유지회차에 따라 상응하는 페이를 지불했을텐데
수수료와 시책을 상당부분 회사에서 떼먹고 주는 것도 모자라
환수까지 기간을 늘리고 비율도 키워서
설계사들을 굶기고 회사를 살찌운 구조가 아닌가 하는 생각이 듭니다.
특히 P사에서 실적이 좋은 조직은 생보 비중이 높은데
그럴 수록 연봉 차이가 크다는 점을 알 수 있습니다.
단기납이나 연금도 수당이 2배 가까이 차이가 난다는 점!!
적당히 생손보 비율 5:5로 판매한다고 가정했을 때
연봉 차이가 P사 : 신한금융 = 1 : 1.8 정도 됩니다.
연봉 1억이신 분들은 1억8천 받으셔야 한다는 거구요
3억인 분들은 5억4천 받으셔야 합니다!!
생보 비중이 압도적인 분들은 거의 1 : 3까지 차이납니다.
위에 시책과 환수기준차이 보시면 납득가실 거에요!
최근 P사가 정착지원금을 70%까지 올렸다고 합니다
3년간 실적으로 갚아야 하는 정착지원금이
고작 연봉 차이만도 못하다는 사실!!!
더이상 회사의 눈가리고 아웅하려는 얕은 수에 넘어가지 마시고
현실을 제대로 직시하셔서
여러분의 정당한 권리를 찾고 제대로 된 조직에서
제대로 일하실 수 있는 여러분들이 되길 응원하겠습니다^^
추가 문의사항 연락주세요^^
김지호 지점장입니다
010-6666-4577"
bluetime2,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :
3. 소속 보험회사 : 수원
4. 보험경력 : 경력무
5. 보만세에서 얻고 싶은 것 : 시험정보
6. 자기소개(경력, 영업방법 등) : 설계사가 되기 위한 공부를 위해서
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 손해보험
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
알래스카푸른바람,"안녕하세요.
신규 회원 입니다.
열심히 다른 업종에서 30년을 일하다가
아이가 아픈 계기로 보험업 관련 공부를 시작하게 되어 카페를 알게되었습니다.
생명시험공부를 독학으로 끝내고 손해보험사 시험준비를 하려고 정보를 찾던중에 이 사이트에 오게되었습니다.
좋은 정보 공유와 같이 할 수 있다는 것에 힘이 납니다.
화이팅하겠습니다.
1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :
3. 소속 보험회사 : 아직은 미정이나 삼성생명통해서 공부중
4. 보험경력 : 없음
5. 보만세에서 얻고 싶은 것 : 공부자료
6. 자기소개(경력, 영업방법 등) : 경력없음
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 네이버 에서 손보사 시험 검색
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
그녀22,"※제목앞에 말머리를 꼭 달아주세요 (질문 / 고민 / 일상/ 영업일기
생보 대리점시험 합격이 1년 미만이라면 생명보험 설계사 위촉이 가능한지요?
따로 생보 설계사 시험을 봐야 하는지 궁금합니다."
현아여자친구,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) : 현아여자친구
3. 소속 보험회사 : 삼성생명
4. 보험경력 : 손해사정사 1년 / 보험설계사 1년
5. 보만세에서 얻고 싶은 것 : 보험공부
6. 자기소개(경력, 영업방법 등) :
1년 조금 넘은 35살 보험유아기 시절을 보내고 있습니다~
아직 모르는것도 많은데 막상 육성코치까지 되고나니까 진짜 발등에 불 떨어진 것 마냥 공부하게 되더라구요ㅠㅠ 그래서 선배님들의 도움을 얻고자 가입하게 되었습니다!
앞으로 잘 부탁드립니다!
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] :
퇴직연금 시험
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
라비스,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) : 라비스
3. 소속 보험회사 : 없음
4. 보험경력 : 없음
5. 보만세에서 얻고 싶은 것 : 보험대리점 시험
6. 자기소개(경력, 영업방법 등) : 새내기 입니다! 열심히 활동 할게요!
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 네이버
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
동쪽s,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
서울 + 미정 + 은행원 + 동쪽s
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) : 동쪽s
3. 소속 보험회사 : 미정
4. 보험경력 : 5
5. 보만세에서 얻고 싶은 것 : 기출문제 시험정보
6. 자기소개(경력, 영업방법 등) : 안녕하세요 은행업권에 5년간 보험판매 경력을 가지고 있습니다. 서로 많은 도움이 되었으면 좋겠네요 감사합니다.
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 시험 검색
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※"
